display_id,label,category,view_count,like_count,channel_id,description,dislike_count,duration,tags,title,upload_date
w8_ld2yUaLQ,Borderline,News & Politics,285725,30796,UCzUV5283-l5c0oKRtyenj6Q,"👕 Order your shirts here: https://Teespring.com/stores/MarkDice
📕 Order my new book here: https://amzn.to/2ZbWk1M
📲 Tip me through PayPal: http://www.PayPal.me/MarkDice
☕️ Order a Liberal Tears mug here: https://Teespring.com/LiberalTearsCoffeeMug
📲 Sponsor me on Patreon: http://Patreon.com/MarkDice

📙 Order my book, ""The True Story of Fake News"" from Amazon here: https://amzn.to/2Zb1Vps or download the e-book from Kindle, iBooks, Google Play, or Nook.

Venmo me: @MarkDice
Cash App me: $MarkDice

Thanks for helping me stay fan funded with tips since YouTube is  demonetizing a lot of my videos. We can’t let them stop us, so let’s keep rocking!

SUBSCRIBE now for more here: http://bit.ly/1QHJwaK

Look at these awesome products I use and recommend: https://www.Amazon.com/Shop/MarkDice

This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), I will receive a small commission.

Copyright © 2019 by Mark Dice.  All Rights Reserved.",100,313,"Funny,Entertainment,Fun,Laughing,Educational,Learning,satire,Newsweek,Newsweek Magazine,Politics,Adam Schiff",Schiff for Brains: An American Hero? 😆,2019-04-18 0:00:00
XX46M0rB2NQ,Borderline,News & Politics,310270,37427,UCzUV5283-l5c0oKRtyenj6Q,"👕 Order your shirts here: https://Teespring.com/stores/MarkDice
📕 Order my new book here: https://amzn.to/2ZbWk1M
📲 Tip me through PayPal: http://www.PayPal.me/MarkDice
☕️ Order a Liberal Tears mug here: https://Teespring.com/LiberalTearsCoffeeMug
📲 Sponsor me on Patreon: http://Patreon.com/MarkDice

📙 Order my book, ""The True Story of Fake News"" from Amazon here: https://amzn.to/2Zb1Vps or download the e-book from Kindle, iBooks, Google Play, or Nook.

Venmo me: @MarkDice
Cash App me: $MarkDice

Thanks for helping me stay fan funded with tips since YouTube is  demonetizing a lot of my videos. We can’t let them stop us, so let’s keep rocking!

SUBSCRIBE now for more here: http://bit.ly/1QHJwaK

Look at these awesome products I use and recommend: https://www.Amazon.com/Shop/MarkDice

This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), I will receive a small commission.

Copyright © 2019 by Mark Dice.  All Rights Reserved.",378,355,"Funny,Entertainment,Fun,Laughing,Educational,Learning,satire,Spring,Easter Sunday,Warm Weather",IT'S COMING!,2019-04-17 0:00:00
Z4nSBZXXnVA,Borderline,News & Politics,331659,31675,UCzUV5283-l5c0oKRtyenj6Q,"👕 Order your shirts here: https://Teespring.com/stores/MarkDice
📕 Order my new book here: https://amzn.to/2Dz70Qw
📲 Tip me through PayPal: http://www.PayPal.me/MarkDice
☕️ Order Liberal Tears mug here: https://Teespring.com/LiberalTearsCoffeeMug
📲 Sponsor me on Patreon: http://Patreon.com/MarkDice

📙 Order my book, ""The True Story of Fake News"" from Amazon here: https://amzn.to/2qhICdo or download the e-book from Kindle, iBooks, Google Play, or Nook.

Venmo me: @MarkDice
Cash App me: $MarkDice

Thanks for helping me stay fan funded with tips since YouTube is  demonetizing a lot of my videos. We can’t let them stop us, so let’s keep rocking!

SUBSCRIBE now for more here: http://bit.ly/1QHJwaK

If you read books, check out my Amazon author's page here:
http://amazon.com/author/markdice?tag=theresimani-20 or download them from Kindle, iBooks, Google Play, or Nook.

Products I Recommend from Amazon: https://www.Amazon.com/Shop/MarkDice

This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), I will receive a small commission.

Copyright © 2019 by Mark Dice.  All Rights Reserved.",171,428,"Funny,Entertainment,Laughing,Educational,Learning,satire,Politics",Their New Plan 😂,2019-04-15 0:00:00
8U42nvX9bD4,Borderline,News & Politics,340760,28952,UCzUV5283-l5c0oKRtyenj6Q,"👕 Order your shirts here: https://Teespring.com/stores/MarkDice
📕 Order my new book here: https://amzn.to/2Dz70Qw
📲 Tip me through PayPal: http://www.PayPal.me/MarkDice
☕️ Order Liberal Tears mug here: https://Teespring.com/LiberalTearsCoffeeMug
📲 Sponsor me on Patreon: http://Patreon.com/MarkDice

📙 Order my book, ""The True Story of Fake News"" from Amazon here: https://amzn.to/2qhICdo or download the e-book from Kindle, iBooks, Google Play, or Nook.

Venmo me: @MarkDice
Cash App me: $MarkDice

Thanks for helping me stay fan funded with tips since YouTube is  demonetizing a lot of my videos. We can’t let them stop us, so let’s keep rocking!

SUBSCRIBE now for more here: http://bit.ly/1QHJwaK

If you read books, check out my Amazon author's page here:
http://amazon.com/author/markdice?tag=theresimani-20 or download them from Kindle, iBooks, Google Play, or Nook.

Products I Recommend from Amazon: https://www.Amazon.com/Shop/MarkDice

This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), I will receive a small commission.

Copyright © 2019 by Mark Dice.  All Rights Reserved.",121,386,"Funny,Entertainment,Educational,Learning,satire,Income Tax,Tax Day,April 15th,Taxes,tax returns,internal revenue service,trump tax returns",NOW WHAT ARE THEY GOING TO DO? 😂,2019-04-13 0:00:00
hv7JmWLPdDg,Borderline,News & Politics,316097,35829,UCzUV5283-l5c0oKRtyenj6Q,"👕 Order your shirts here: https://Teespring.com/stores/MarkDice
📕 Order my new book here: https://amzn.to/2Dz70Qw
📲 Tip me through PayPal: http://www.PayPal.me/MarkDice
☕️ Order Liberal Tears mug here: https://Teespring.com/LiberalTearsCoffeeMug
📲 Sponsor me on Patreon: http://Patreon.com/MarkDice

📙 Order my book, ""The True Story of Fake News"" from Amazon here: https://amzn.to/2qhICdo or download the e-book from Kindle, iBooks, Google Play, or Nook.

Venmo me: @MarkDice
Cash App me: $MarkDice

Thanks for helping me stay fan funded with tips since YouTube is  demonetizing a lot of my videos. We can’t let them stop us, so let’s keep rocking!

SUBSCRIBE now for more here: http://bit.ly/1QHJwaK

If you read books, check out my Amazon author's page here:
http://amazon.com/author/markdice?tag=theresimani-20 or download them from Kindle, iBooks, Google Play, or Nook.

Products I Recommend from Amazon: https://www.Amazon.com/Shop/MarkDice

This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), I will receive a small commission.

Copyright © 2019 by Mark Dice.  All Rights Reserved.",112,371,"Funny,Entertainment,Fun,Laughing,Educational,Learning,satire,Jerry Nadler",Get Ready!,2019-04-11 0:00:00
gQMJ5RAfHAk,Borderline,News & Politics,335280,35809,UCzUV5283-l5c0oKRtyenj6Q,"👕 Order your shirts here: https://Teespring.com/stores/MarkDice
📕 Order my new book here: https://amzn.to/2Dz70Qw
📲 Tip me through PayPal: http://www.PayPal.me/MarkDice
☕️ Order Liberal Tears mug here: https://Teespring.com/LiberalTearsCoffeeMug
📲 Sponsor me on Patreon: http://Patreon.com/MarkDice

📙 Order my book, ""The True Story of Fake News"" from Amazon here: https://amzn.to/2qhICdo or download the e-book from Kindle, iBooks, Google Play, or Nook.

Venmo me: @MarkDice
Cash App me: $MarkDice

Thanks for helping me stay fan funded with tips since YouTube is  demonetizing a lot of my videos. We can’t let them stop us, so let’s keep rocking!

SUBSCRIBE now for more here: http://bit.ly/1QHJwaK

If you read books, check out my Amazon author's page here:
http://amazon.com/author/markdice?tag=theresimani-20 or download them from Kindle, iBooks, Google Play, or Nook.

Products I Recommend from Amazon: https://www.Amazon.com/Shop/MarkDice

This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), I will receive a small commission.

Copyright © 2019 by Mark Dice.  All Rights Reserved.",140,399,"Funny,Entertainment,Fun,Laughing,Educational,Learning,satire,Politics,Jake Tapper,Eric Swalwell",FINALLY AN APOLOGY?,2019-04-12 0:00:00
wQxMOuln-Rg,Borderline,News & Politics,309548,33495,UCzUV5283-l5c0oKRtyenj6Q,"👕 Order your shirts here: https://Teespring.com/stores/MarkDice
📕 Order my new book here: https://amzn.to/2Dz70Qw
📲 Tip me through PayPal: http://www.PayPal.me/MarkDice
☕️ Order Liberal Tears mug here: https://Teespring.com/LiberalTearsCoffeeMug
📲 Sponsor me on Patreon: http://Patreon.com/MarkDice

📙 Order my book, ""The True Story of Fake News"" from Amazon here: https://amzn.to/2qhICdo or download the e-book from Kindle, iBooks, Google Play, or Nook.

Venmo me: @MarkDice
Cash App me: $MarkDice

Thanks for helping me stay fan funded with tips since YouTube is  demonetizing a lot of my videos. We can’t let them stop us, so let’s keep rocking!

SUBSCRIBE now for more here: http://bit.ly/1QHJwaK

If you read books, check out my Amazon author's page here:
http://amazon.com/author/markdice?tag=theresimani-20 or download them from Kindle, iBooks, Google Play, or Nook.

Products I Recommend from Amazon: https://www.Amazon.com/Shop/MarkDice

This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), I will receive a small commission.

Copyright © 2019 by Mark Dice.  All Rights Reserved.",108,332,"Funny,Entertainment,Fun,Laughing,Educational,Learning,satire,Politics,Eric Swalwell",Moron Makes Major Announcement,2019-04-09 0:00:00
1W7pRD-FkpI,Borderline,News & Politics,334822,35331,UCzUV5283-l5c0oKRtyenj6Q,"👕 Order your shirts here: https://Teespring.com/stores/MarkDice
📕 Order my new book here: https://amzn.to/2Dz70Qw
📲 Tip me through PayPal: http://www.PayPal.me/MarkDice
☕️ Order Liberal Tears mug here: https://Teespring.com/LiberalTearsCoffeeMug
📲 Sponsor me on Patreon: http://Patreon.com/MarkDice

📙 Order my book, ""The True Story of Fake News"" from Amazon here: https://amzn.to/2qhICdo or download the e-book from Kindle, iBooks, Google Play, or Nook.

Venmo me: @MarkDice
Cash App me: $MarkDice

Thanks for helping me stay fan funded with tips since YouTube is  demonetizing a lot of my videos. We can’t let them stop us, so let’s keep rocking!

SUBSCRIBE now for more here: http://bit.ly/1QHJwaK

If you read books, check out my Amazon author's page here:
http://amazon.com/author/markdice?tag=theresimani-20 or download them from Kindle, iBooks, Google Play, or Nook.

Products I Recommend from Amazon: https://www.Amazon.com/Shop/MarkDice

This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), I will receive a small commission.

Copyright © 2019 by Mark Dice.  All Rights Reserved.",102,289,"Funny,Entertainment,Laughing,Educational,Learning,satire",The Fun Continues!,2019-04-07 0:00:00
ZbyIzDgLaKk,Borderline,News & Politics,323334,38062,UCzUV5283-l5c0oKRtyenj6Q,"👕 Order your shirts here: https://Teespring.com/stores/MarkDice
📕 Order my new book here: https://amzn.to/2Dz70Qw
📲 Tip me through PayPal: http://www.PayPal.me/MarkDice
☕️ Order Liberal Tears mug here: https://Teespring.com/LiberalTearsCoffeeMug
📲 Sponsor me on Patreon: http://Patreon.com/MarkDice

📙 Order my book, ""The True Story of Fake News"" from Amazon here: https://amzn.to/2qhICdo or download the e-book from Kindle, iBooks, Google Play, or Nook.

Venmo me: @MarkDice
Cash App me: $MarkDice

Thanks for helping me stay fan funded with tips since YouTube is  demonetizing a lot of my videos. We can’t let them stop us, so let’s keep rocking!

SUBSCRIBE now for more here: http://bit.ly/1QHJwaK

If you read books, check out my Amazon author's page here:
http://amazon.com/author/markdice?tag=theresimani-20 or download them from Kindle, iBooks, Google Play, or Nook.

Products I Recommend from Amazon: https://www.Amazon.com/Shop/MarkDice

This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), I will receive a small commission.

Copyright © 2019 by Mark Dice.  All Rights Reserved.",105,345,"Funny,Entertainment,Fun,Laughing,Educational,Learning,satire,Politics,MSNBC,Morning Joe",MSNBC Makes a Big Mistake 😆,2019-04-08 0:00:00
bdPLY1GeEcw,Borderline,News & Politics,336193,44872,UCzUV5283-l5c0oKRtyenj6Q,"👕 Order your shirts here: https://Teespring.com/stores/MarkDice
📕 Order my new book here: https://amzn.to/2Dz70Qw
📲 Tip me through PayPal: http://www.PayPal.me/MarkDice
☕️ Order Liberal Tears mug here: https://Teespring.com/LiberalTearsCoffeeMug
📲 Sponsor me on Patreon: http://Patreon.com/MarkDice

📙 Order my book, ""The True Story of Fake News"" from Amazon here: https://amzn.to/2qhICdo or download the e-book from Kindle, iBooks, Google Play, or Nook.

Venmo me: @MarkDice
Cash App me: $MarkDice

Thanks for helping me stay fan funded with tips since YouTube is  demonetizing a lot of my videos. We can’t let them stop us, so let’s keep rocking!

SUBSCRIBE now for more here: http://bit.ly/1QHJwaK

If you read books, check out my Amazon author's page here:
http://amazon.com/author/markdice?tag=theresimani-20 or download them from Kindle, iBooks, Google Play, or Nook.

Products I Recommend from Amazon: https://www.Amazon.com/Shop/MarkDice

This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), I will receive a small commission.

Copyright © 2019 by Mark Dice.  All Rights Reserved.",121,249,"Funny,Entertainment,Fun,Laughing,Educational,Learning,satire,Comedy,roseanne barr",I've Got a New Fan!,2019-04-05 0:00:00
