video_id,frame_type,category,image_name,image_path
-5xExix8NZk,end,Entertainment,-5xExix8NZk_end.jpg,Data/dataset_images\Entertainment\-5xExix8NZk_end.jpg
-5xExix8NZk,mid,Entertainment,-5xExix8NZk_mid.jpg,Data/dataset_images\Entertainment\-5xExix8NZk_mid.jpg
-5xExix8NZk,start,Entertainment,-5xExix8NZk_start.jpg,Data/dataset_images\Entertainment\-5xExix8NZk_start.jpg
-i0tUjN8Ldc,end,Entertainment,-i0tUjN8Ldc_end.jpg,Data/dataset_images\Entertainment\-i0tUjN8Ldc_end.jpg
-i0tUjN8Ldc,mid,Entertainment,-i0tUjN8Ldc_mid.jpg,Data/dataset_images\Entertainment\-i0tUjN8Ldc_mid.jpg
-i0tUjN8Ldc,start,Entertainment,-i0tUjN8Ldc_start.jpg,Data/dataset_images\Entertainment\-i0tUjN8Ldc_start.jpg
-lfTPVptH-w,end,Entertainment,-lfTPVptH-w_end.jpg,Data/dataset_images\Entertainment\-lfTPVptH-w_end.jpg
-lfTPVptH-w,mid,Entertainment,-lfTPVptH-w_mid.jpg,Data/dataset_images\Entertainment\-lfTPVptH-w_mid.jpg
-lfTPVptH-w,start,Entertainment,-lfTPVptH-w_start.jpg,Data/dataset_images\Entertainment\-lfTPVptH-w_start.jpg
-nb5Ix8WSlc,end,Entertainment,-nb5Ix8WSlc_end.jpg,Data/dataset_images\Entertainment\-nb5Ix8WSlc_end.jpg
-nb5Ix8WSlc,mid,Entertainment,-nb5Ix8WSlc_mid.jpg,Data/dataset_images\Entertainment\-nb5Ix8WSlc_mid.jpg
-nb5Ix8WSlc,start,Entertainment,-nb5Ix8WSlc_start.jpg,Data/dataset_images\Entertainment\-nb5Ix8WSlc_start.jpg
-Q4OP1fla8k,end,Entertainment,-Q4OP1fla8k_end.jpg,Data/dataset_images\Entertainment\-Q4OP1fla8k_end.jpg
-Q4OP1fla8k,mid,Entertainment,-Q4OP1fla8k_mid.jpg,Data/dataset_images\Entertainment\-Q4OP1fla8k_mid.jpg
-Q4OP1fla8k,start,Entertainment,-Q4OP1fla8k_start.jpg,Data/dataset_images\Entertainment\-Q4OP1fla8k_start.jpg
-q6qNhmUrZ8,end,Entertainment,-q6qNhmUrZ8_end.jpg,Data/dataset_images\Entertainment\-q6qNhmUrZ8_end.jpg
-q6qNhmUrZ8,mid,Entertainment,-q6qNhmUrZ8_mid.jpg,Data/dataset_images\Entertainment\-q6qNhmUrZ8_mid.jpg
-q6qNhmUrZ8,start,Entertainment,-q6qNhmUrZ8_start.jpg,Data/dataset_images\Entertainment\-q6qNhmUrZ8_start.jpg
-R_mKeM9XVQ,end,Entertainment,-R_mKeM9XVQ_end.jpg,Data/dataset_images\Entertainment\-R_mKeM9XVQ_end.jpg
-R_mKeM9XVQ,mid,Entertainment,-R_mKeM9XVQ_mid.jpg,Data/dataset_images\Entertainment\-R_mKeM9XVQ_mid.jpg
-R_mKeM9XVQ,start,Entertainment,-R_mKeM9XVQ_start.jpg,Data/dataset_images\Entertainment\-R_mKeM9XVQ_start.jpg
-Tc-cSFHdf8,end,Entertainment,-Tc-cSFHdf8_end.jpg,Data/dataset_images\Entertainment\-Tc-cSFHdf8_end.jpg
-Tc-cSFHdf8,mid,Entertainment,-Tc-cSFHdf8_mid.jpg,Data/dataset_images\Entertainment\-Tc-cSFHdf8_mid.jpg
-Tc-cSFHdf8,start,Entertainment,-Tc-cSFHdf8_start.jpg,Data/dataset_images\Entertainment\-Tc-cSFHdf8_start.jpg
-u0hUefNoRk,end,Entertainment,-u0hUefNoRk_end.jpg,Data/dataset_images\Entertainment\-u0hUefNoRk_end.jpg
-u0hUefNoRk,mid,Entertainment,-u0hUefNoRk_mid.jpg,Data/dataset_images\Entertainment\-u0hUefNoRk_mid.jpg
-u0hUefNoRk,start,Entertainment,-u0hUefNoRk_start.jpg,Data/dataset_images\Entertainment\-u0hUefNoRk_start.jpg
-v4QXCBrXcQ,end,Entertainment,-v4QXCBrXcQ_end.jpg,Data/dataset_images\Entertainment\-v4QXCBrXcQ_end.jpg
-v4QXCBrXcQ,mid,Entertainment,-v4QXCBrXcQ_mid.jpg,Data/dataset_images\Entertainment\-v4QXCBrXcQ_mid.jpg
-v4QXCBrXcQ,start,Entertainment,-v4QXCBrXcQ_start.jpg,Data/dataset_images\Entertainment\-v4QXCBrXcQ_start.jpg
-XbdSmX98sI,end,Entertainment,-XbdSmX98sI_end.jpg,Data/dataset_images\Entertainment\-XbdSmX98sI_end.jpg
-XbdSmX98sI,mid,Entertainment,-XbdSmX98sI_mid.jpg,Data/dataset_images\Entertainment\-XbdSmX98sI_mid.jpg
-XbdSmX98sI,start,Entertainment,-XbdSmX98sI_start.jpg,Data/dataset_images\Entertainment\-XbdSmX98sI_start.jpg
-_uiVK2kjPQ,end,Entertainment,-_uiVK2kjPQ_end.jpg,Data/dataset_images\Entertainment\-_uiVK2kjPQ_end.jpg
-_uiVK2kjPQ,mid,Entertainment,-_uiVK2kjPQ_mid.jpg,Data/dataset_images\Entertainment\-_uiVK2kjPQ_mid.jpg
-_uiVK2kjPQ,start,Entertainment,-_uiVK2kjPQ_start.jpg,Data/dataset_images\Entertainment\-_uiVK2kjPQ_start.jpg
0-8zm0plxBY,end,Entertainment,0-8zm0plxBY_end.jpg,Data/dataset_images\Entertainment\0-8zm0plxBY_end.jpg
0-8zm0plxBY,mid,Entertainment,0-8zm0plxBY_mid.jpg,Data/dataset_images\Entertainment\0-8zm0plxBY_mid.jpg
0-8zm0plxBY,start,Entertainment,0-8zm0plxBY_start.jpg,Data/dataset_images\Entertainment\0-8zm0plxBY_start.jpg
08f6vHcRvDg,end,Entertainment,08f6vHcRvDg_end.jpg,Data/dataset_images\Entertainment\08f6vHcRvDg_end.jpg
08f6vHcRvDg,mid,Entertainment,08f6vHcRvDg_mid.jpg,Data/dataset_images\Entertainment\08f6vHcRvDg_mid.jpg
08f6vHcRvDg,start,Entertainment,08f6vHcRvDg_start.jpg,Data/dataset_images\Entertainment\08f6vHcRvDg_start.jpg
0BQcRl59mSg,end,Entertainment,0BQcRl59mSg_end.jpg,Data/dataset_images\Entertainment\0BQcRl59mSg_end.jpg
0BQcRl59mSg,mid,Entertainment,0BQcRl59mSg_mid.jpg,Data/dataset_images\Entertainment\0BQcRl59mSg_mid.jpg
0BQcRl59mSg,start,Entertainment,0BQcRl59mSg_start.jpg,Data/dataset_images\Entertainment\0BQcRl59mSg_start.jpg
0btGgLI95nk,end,Entertainment,0btGgLI95nk_end.jpg,Data/dataset_images\Entertainment\0btGgLI95nk_end.jpg
0btGgLI95nk,mid,Entertainment,0btGgLI95nk_mid.jpg,Data/dataset_images\Entertainment\0btGgLI95nk_mid.jpg
0btGgLI95nk,start,Entertainment,0btGgLI95nk_start.jpg,Data/dataset_images\Entertainment\0btGgLI95nk_start.jpg
0f5EGXpCF_c,end,Entertainment,0f5EGXpCF_c_end.jpg,Data/dataset_images\Entertainment\0f5EGXpCF_c_end.jpg
0f5EGXpCF_c,mid,Entertainment,0f5EGXpCF_c_mid.jpg,Data/dataset_images\Entertainment\0f5EGXpCF_c_mid.jpg
0f5EGXpCF_c,start,Entertainment,0f5EGXpCF_c_start.jpg,Data/dataset_images\Entertainment\0f5EGXpCF_c_start.jpg
0i1RxZSovjM,end,Entertainment,0i1RxZSovjM_end.jpg,Data/dataset_images\Entertainment\0i1RxZSovjM_end.jpg
0i1RxZSovjM,mid,Entertainment,0i1RxZSovjM_mid.jpg,Data/dataset_images\Entertainment\0i1RxZSovjM_mid.jpg
0i1RxZSovjM,start,Entertainment,0i1RxZSovjM_start.jpg,Data/dataset_images\Entertainment\0i1RxZSovjM_start.jpg
0iDKpOTrngQ,end,Entertainment,0iDKpOTrngQ_end.jpg,Data/dataset_images\Entertainment\0iDKpOTrngQ_end.jpg
0iDKpOTrngQ,mid,Entertainment,0iDKpOTrngQ_mid.jpg,Data/dataset_images\Entertainment\0iDKpOTrngQ_mid.jpg
0iDKpOTrngQ,start,Entertainment,0iDKpOTrngQ_start.jpg,Data/dataset_images\Entertainment\0iDKpOTrngQ_start.jpg
0JHJqQsGLpE,end,Entertainment,0JHJqQsGLpE_end.jpg,Data/dataset_images\Entertainment\0JHJqQsGLpE_end.jpg
0JHJqQsGLpE,mid,Entertainment,0JHJqQsGLpE_mid.jpg,Data/dataset_images\Entertainment\0JHJqQsGLpE_mid.jpg
0JHJqQsGLpE,start,Entertainment,0JHJqQsGLpE_start.jpg,Data/dataset_images\Entertainment\0JHJqQsGLpE_start.jpg
0JjKfIgX4nw,end,Entertainment,0JjKfIgX4nw_end.jpg,Data/dataset_images\Entertainment\0JjKfIgX4nw_end.jpg
0JjKfIgX4nw,mid,Entertainment,0JjKfIgX4nw_mid.jpg,Data/dataset_images\Entertainment\0JjKfIgX4nw_mid.jpg
0JjKfIgX4nw,start,Entertainment,0JjKfIgX4nw_start.jpg,Data/dataset_images\Entertainment\0JjKfIgX4nw_start.jpg
0OOEjsxhVMM,end,Entertainment,0OOEjsxhVMM_end.jpg,Data/dataset_images\Entertainment\0OOEjsxhVMM_end.jpg
0OOEjsxhVMM,mid,Entertainment,0OOEjsxhVMM_mid.jpg,Data/dataset_images\Entertainment\0OOEjsxhVMM_mid.jpg
0OOEjsxhVMM,start,Entertainment,0OOEjsxhVMM_start.jpg,Data/dataset_images\Entertainment\0OOEjsxhVMM_start.jpg
0PFoayw4QT4,end,Entertainment,0PFoayw4QT4_end.jpg,Data/dataset_images\Entertainment\0PFoayw4QT4_end.jpg
0PFoayw4QT4,mid,Entertainment,0PFoayw4QT4_mid.jpg,Data/dataset_images\Entertainment\0PFoayw4QT4_mid.jpg
0PFoayw4QT4,start,Entertainment,0PFoayw4QT4_start.jpg,Data/dataset_images\Entertainment\0PFoayw4QT4_start.jpg
0Q03BV8aG5k,end,Entertainment,0Q03BV8aG5k_end.jpg,Data/dataset_images\Entertainment\0Q03BV8aG5k_end.jpg
0Q03BV8aG5k,mid,Entertainment,0Q03BV8aG5k_mid.jpg,Data/dataset_images\Entertainment\0Q03BV8aG5k_mid.jpg
0Q03BV8aG5k,start,Entertainment,0Q03BV8aG5k_start.jpg,Data/dataset_images\Entertainment\0Q03BV8aG5k_start.jpg
0rPFvgcMH5Q,end,Entertainment,0rPFvgcMH5Q_end.jpg,Data/dataset_images\Entertainment\0rPFvgcMH5Q_end.jpg
0rPFvgcMH5Q,mid,Entertainment,0rPFvgcMH5Q_mid.jpg,Data/dataset_images\Entertainment\0rPFvgcMH5Q_mid.jpg
0rPFvgcMH5Q,start,Entertainment,0rPFvgcMH5Q_start.jpg,Data/dataset_images\Entertainment\0rPFvgcMH5Q_start.jpg
0t6OBVozRmw,end,Entertainment,0t6OBVozRmw_end.jpg,Data/dataset_images\Entertainment\0t6OBVozRmw_end.jpg
0t6OBVozRmw,mid,Entertainment,0t6OBVozRmw_mid.jpg,Data/dataset_images\Entertainment\0t6OBVozRmw_mid.jpg
0t6OBVozRmw,start,Entertainment,0t6OBVozRmw_start.jpg,Data/dataset_images\Entertainment\0t6OBVozRmw_start.jpg
